id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365,review_scores_rating
35188883,51.55284,-0.07507,90,0,0,0,0,
35190270,51.51749,-0.14659,60,23,53,83,83,
35190436,51.41986,-0.19162,250,29,59,89,364,
35190803,51.46962,0.01709,45,0,0,0,0,
35191138,51.54779,-0.06035,62,29,59,89,89,5
35191821,51.48365,-0.19535,220,0,0,0,0,
35192237,51.55597,-0.07301,120,0,0,0,0,
35192797,51.53091,-0.21727,80,0,0,0,0,5
35194357,51.5024,-0.19244,100,30,60,90,365,5
35194412,51.49882,-0.20596,79,28,58,88,175,4.89
35195174,51.48051,-0.27401,95,0,0,0,0,4
35195284,51.59231,-0.17609,200,3,9,39,129,
35195514,51.54928,-0.1753,35,0,0,0,0,4
35196209,51.51163,-0.06945,60,30,60,90,365,4.58
35208509,51.46326,-0.27348,30,0,0,0,0,4.63
35208725,51.52031,-0.10352,500,0,0,0,0,5
35209207,51.53035,-0.05593,40,0,0,0,0,4.33
35209699,51.52279,-0.16188,164,0,0,0,0,4.8
35210430,51.43912,-0.14989,80,0,0,0,13,5
35210643,51.53049,-0.0411,112,19,34,64,339,4.25
35211088,51.49181,-0.11913,120,28,32,62,127,4.7
35211134,51.48842,-0.07859,30,30,60,90,90,3.2
35211220,51.59639,-0.26021,29,30,60,90,365,4.92
35211701,51.50475,-0.19155,63,0,0,0,0,4.8
35211711,51.52018,-0.16711,70,29,59,89,364,
35212807,51.49715,-0.19426,102,0,0,0,0,4
35212987,51.57423,-0.01727,120,0,0,0,0,
35213830,51.5193,-0.03463,132,0,0,0,0,3.5
35215271,51.55151,-0.10697,38,0,0,0,0,
35215781,51.50613,-0.22003,65,28,58,88,88,4.87
35216282,51.59539,0.19076,35,0,0,0,0,5
35216454,51.45175,-0.37746,35,0,0,0,0,0
35216652,51.53609,-0.19236,60,0,0,19,19,5
35217000,51.53163,-0.04117,75,0,0,0,0,5
35217028,51.50996,-0.21609,220,0,0,0,0,
35217262,51.48829,-0.14143,72,0,0,0,0,4.6
35217802,51.50711,-0.23451,35,28,58,88,178,3
35219726,51.55153,-0.09697,"1,229.00",0,0,0,0,
35220465,51.46984,-0.16692,206,0,0,0,0,5
35220891,51.54348,-0.10718,109,0,0,0,249,4.65
35221088,51.5132,-0.06827,70,30,60,90,365,4.2
35222336,51.4247,-0.19034,50,28,58,88,88,5
35222337,51.51623,-0.18823,800,0,0,0,0,4.76
35222449,51.53395,-0.09644,75,11,25,50,80,4.75
35222946,51.43687,-0.25262,100,30,60,90,90,4
35223792,51.56252,-0.06854,35,0,0,0,0,
35224149,51.49059,-0.1023,24,10,10,10,196,4.19
35225268,51.57373,-0.01564,30,30,60,90,365,4.39
35225394,51.51467,-0.34331,136,0,0,0,0,
35226815,51.48222,-0.1986,100,0,5,35,35,5
35227401,51.55088,-0.23701,24,0,0,0,0,4.5
35228367,51.51172,-0.06965,58,30,60,90,365,5
35228557,51.495,-0.08281,30,0,0,0,0,
35229754,51.53991,-0.02223,35,0,0,0,0,
35230146,51.47556,-0.17275,142,0,0,0,0,5
35230171,51.44343,-0.11637,115,0,0,0,0,5
35231342,51.51743,-0.20006,602,30,60,90,116,5
35232306,51.57084,-0.10992,89,0,0,0,0,
35232388,51.57178,-0.10948,89,0,0,0,0,
35232449,51.57103,-0.11014,89,0,0,0,0,
35232506,51.57259,-0.10947,89,0,0,0,0,
35232740,51.37572,-0.09567,90,0,0,0,0,5
35232832,51.57286,-0.11127,89,0,0,0,0,
35233067,51.5122,-0.03233,23,0,0,0,0,4.67
35233625,51.43112,-0.33881,40,23,53,83,358,
35238174,51.46727,-0.16148,50,0,0,0,0,4.5
35239476,51.49177,-0.24676,155,28,58,88,363,3.5
35241347,51.58877,-0.1703,100,0,0,0,0,5
35243228,51.5006,-0.2318,247,29,59,89,364,
35243330,51.52122,-0.19152,36,0,0,0,2,4.77
35243841,51.51636,-0.15784,130,0,0,0,0,
35244863,51.59705,-0.25671,300,28,58,88,363,
35245710,51.51175,-0.07016,65,30,60,90,365,4.25
35246278,51.51222,-0.07044,58,30,60,90,365,4.4
35246718,51.51837,-0.13887,270,30,60,90,365,5
35249871,51.5178,-0.19687,350,0,0,0,0,5
35250095,51.4963,-0.19326,129,0,22,44,44,4.84
35251137,51.63471,-0.0472,75,30,60,90,365,
35251365,51.40989,-0.14015,130,0,0,0,0,
35251703,51.48984,-0.19693,175,30,60,90,90,
35251859,51.595,-0.25129,32,30,60,90,365,4.86
35252212,51.55276,-0.1246,882,0,0,0,0,5
35252233,51.46242,-0.22547,150,11,41,71,71,
35253436,51.53362,-0.08105,156,11,23,23,23,4.88
35253868,51.47102,-0.21092,34,0,0,0,0,
35253921,51.51458,-0.07812,139,25,51,67,67,4.95
35255762,51.52903,-0.21745,123,0,0,0,0,2
35256017,51.48077,-0.18029,195,30,60,90,365,0
35256806,51.37137,-0.09352,70,30,60,90,90,
35257092,51.55186,0.00982,210,15,30,57,327,4.56
35257577,51.41568,-0.21446,85,0,0,0,0,5
35261161,51.5205,-0.13971,40,0,0,0,0,1
35261927,51.52719,-0.12115,389,21,48,75,101,5
35262822,51.52279,0.01501,48,29,59,89,179,3
35263463,51.4741,0.02285,65,0,0,0,0,4.73
35263871,51.55923,-0.07978,89,0,0,0,0,
35263906,51.55848,-0.07932,89,0,0,0,0,
35264055,51.55795,-0.0802,89,0,0,0,0,
35264238,51.56031,-0.07638,89,0,0,0,0,
35269417,51.46218,-0.16016,120,0,0,0,0,
35269913,51.48787,-0.17819,178,0,0,6,271,5
35271031,51.51267,-0.01225,35,30,60,90,365,
35271228,51.56968,-0.02489,70,4,19,41,41,5
35271756,51.53653,-0.08949,100,0,0,0,0,5
35272404,51.60149,-0.18515,120,23,53,83,84,
35272426,51.47694,-0.11868,40,8,8,8,8,4.96
35272825,51.50586,0.01674,60,25,43,64,334,4.67
35272863,51.58805,-0.27703,50,0,0,0,0,
35275084,51.50981,-0.2156,31,7,12,12,30,4.67
35275230,51.47277,0.02178,60,0,0,0,0,4.5
35276183,51.45671,-0.43282,200,28,58,88,88,
35276434,51.5333,-0.09701,39,0,0,0,0,
35279121,51.52472,-0.20227,49,29,59,89,179,4.29
35279365,51.42902,-0.30285,43,0,0,24,24,4.75
35280337,51.52614,-0.03476,150,0,0,0,0,4.75
35280518,51.51031,-0.06792,70,30,60,90,365,4.81
35281760,51.45554,-0.42606,80,0,0,0,37,4.75
35282397,51.40196,-0.1094,25,30,60,90,365,
35283035,51.46051,-0.36904,26,2,32,62,62,4.78
35283149,51.49555,-0.18333,48,30,60,90,180,
35283929,51.56155,-0.26366,35,0,0,0,0,4.42
35284076,51.63071,-0.04526,22,30,60,90,90,4.43
35284127,51.59825,-0.03556,28,27,57,81,81,4.94
35284403,51.61591,-0.24094,300,16,39,69,249,4.89
35284770,51.53067,-0.18693,40,30,60,90,365,4
35286572,51.46513,-0.22804,300,0,0,0,0,
35290154,51.53745,-0.08664,102,27,57,87,177,
35293523,51.54425,-0.13057,60,0,0,0,0,5
35293951,51.44902,-0.32229,100,0,0,0,0,5
35294607,51.47609,-0.36369,60,30,60,90,180,4
35295373,51.45843,0.14691,90,23,53,83,83,0
35296229,51.46387,-0.13004,24,0,0,0,0,5
35297550,51.53047,-0.09923,104,18,42,42,42,4.61
35297925,51.41641,-0.07261,70,0,0,0,0,4.25
35298077,51.53052,-0.18668,105,0,0,0,0,4.79
35298320,51.51249,-0.2424,60,0,0,0,0,
35299069,51.52862,-0.21714,48,28,58,88,178,
35299494,51.46693,-0.18701,126,16,42,72,72,4.57
35300189,51.5173,-0.06388,60,0,0,0,0,4.8
35300393,51.56971,-0.00817,26,0,0,0,0,4
35300905,51.54772,-0.1707,80,0,0,0,0,5
35301366,51.49893,-0.07516,45,0,0,0,0,4.48
35301374,51.54913,-0.07168,300,0,0,0,0,
35302353,51.51528,-0.147,"1,021.00",27,57,87,362,
35302718,51.49068,-0.18475,177,0,0,0,0,5
35303078,51.49763,-0.16467,329,30,60,90,365,
35304537,51.46633,-0.12521,27,0,0,0,0,
35305602,51.51826,-0.01125,15,0,0,0,0,
35305718,51.48156,-0.21489,100,0,0,0,0,5
35306149,51.48693,-0.20838,175,7,20,50,325,4
35307046,51.45878,0.00778,30,27,57,87,87,
35307760,51.57564,0.03653,22,0,0,0,0,5
35308222,51.60133,-0.02586,120,0,0,0,0,5
35308244,51.49903,-0.0691,95,0,0,0,0,5
35309140,51.45033,-0.12634,78,0,0,0,0,5
35309307,51.54969,-0.23482,29,0,0,0,0,4.13
35309768,51.4627,-0.07596,40,0,0,0,0,5
35311169,51.53565,-0.13869,139,11,31,50,132,4.97
35311274,51.4438,-0.10412,35,29,59,89,364,4.75
35311723,51.55528,-0.18616,89,0,0,0,0,
35311920,51.41586,-0.15008,199,30,60,90,90,5
35312163,51.48754,0.05735,25,22,48,78,168,4.93
35312856,51.55354,-0.18409,89,0,0,0,0,
35313164,51.55311,-0.17714,89,0,0,0,0,
35313951,51.45431,-0.23225,20,0,0,0,0,5
35313953,51.54502,-0.06429,90,0,0,0,0,0
35314656,51.62321,-0.11011,55,29,59,89,89,4.31
35315280,51.39188,-0.11789,35,30,60,90,181,
35315619,51.5152,-0.07305,39,30,60,90,365,
35315658,51.53767,-0.04239,60,0,0,0,0,
35315917,51.53675,-0.06807,40,0,0,0,0,5
35318381,51.41617,-0.21955,70,28,58,88,88,5
35322099,51.57621,-0.08881,22,0,0,0,0,4.83
35322850,51.56854,-0.07781,50,29,59,89,89,5
35325321,51.54266,-0.08549,50,0,0,0,0,4.94
35325684,51.49155,-0.0952,120,0,5,35,310,4.64
35326544,51.50981,-0.12701,400,23,53,83,83,
35327051,51.49438,-0.19074,110,0,0,0,0,4.5
35327297,51.5357,-0.23034,29,20,50,80,80,5
35327565,51.51344,-0.03286,70,0,0,0,0,
35328188,51.45801,-0.0703,120,0,0,0,0,4.61
35328337,51.5367,-0.13679,35,0,0,0,0,4.47
35328343,51.4796,-0.08084,50,22,38,68,248,4.5
35328453,51.55646,-0.04369,30,0,0,0,0,5
35328874,51.51492,-0.18842,160,21,21,21,21,4.9
35328948,51.53239,-0.20962,165,1,31,61,336,4.5
35328949,51.55752,-0.07162,40,0,0,0,0,5
35329070,51.5347,-0.16937,38,0,0,0,0,
35329507,51.58544,0.21291,50,27,57,87,87,1
35329538,51.51518,-0.01561,100,9,32,32,109,4.58
35329549,51.53606,-0.08582,119,5,35,60,60,4.71
35329709,51.51753,-0.13327,407,0,0,0,0,5
35330621,51.64031,-0.09715,60,0,0,0,0,
35332058,51.42124,-0.17935,30,0,0,0,0,4.33
35333120,51.56589,-0.04949,30,23,48,48,48,5
35333131,51.52056,-0.13629,140,30,60,90,365,5
35333993,51.52703,-0.08078,134,0,0,0,0,4.96
35334141,51.44773,-0.21134,260,29,59,89,89,
